  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     2.307 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.6519   0.00791   0.00294  -0.0049   0.9818   0.0630
  -5.000  -0.5448   0.00707   0.00228  -0.0038   0.9513   0.1029
  -4.000  -0.4390   0.00636   0.00173  -0.0023   0.9023   0.1668
  -3.000  -0.3314   0.00577   0.00129  -0.0012   0.8327   0.2570
  -2.000  -0.2220   0.00540   0.00100  -0.0006   0.7455   0.3552
  -1.000  -0.1113   0.00520   0.00084  -0.0002   0.6512   0.4550
  -0.000   0.0000   0.00513   0.00079  -0.0000   0.5540   0.5542
   1.000   0.1113   0.00520   0.00084   0.0002   0.4546   0.6515
   2.000   0.2219   0.00540   0.00100   0.0006   0.3551   0.7464
   3.000   0.3314   0.00577   0.00129   0.0012   0.2569   0.8329
   4.000   0.4390   0.00636   0.00173   0.0023   0.1667   0.9023
   5.000   0.5448   0.00707   0.00228   0.0038   0.1031   0.9513
   6.000   0.6519   0.00791   0.00294   0.0049   0.0630   0.9818
   7.000   0.7766   0.00882   0.00371   0.0019   0.0421   0.9931
   8.000   0.9073   0.00983   0.00463  -0.0028   0.0302   0.9973
   9.000   1.0230   0.01090   0.00567  -0.0043   0.0235   1.0000
  10.000   1.1093   0.01199   0.00678   0.0005   0.0198   1.0000
  11.000   1.1995   0.01332   0.00815   0.0041   0.0167   1.0000
  12.000   1.2927   0.01470   0.00959   0.0067   0.0150   1.0000
  13.000   1.3798   0.01652   0.01153   0.0099   0.0134   1.0000
  14.000   1.4616   0.01845   0.01356   0.0136   0.0121   1.0000
  15.000   1.5192   0.02120   0.01651   0.0204   0.0110   1.0000
  16.000   1.5660   0.02446   0.01998   0.0268   0.0105   1.0000
  17.000   1.5968   0.02980   0.02556   0.0311   0.0099   1.0000
  18.000   1.5995   0.03971   0.03580   0.0311   0.0093   1.0000
  19.000   1.5421   0.06024   0.05683   0.0225   0.0090   1.0000
  20.000   1.4165   0.09425   0.09144   0.0054   0.0090   1.0000
